,What is your gender?,What age bracket are you in?,Are you pursuing an undergraduate or graduate degree?,Are you a domestic or international student?,Are you a full-time or part-time student?,What is your year of study?,What program are you currently enrolled in?,What university are you attending?,"If other, please specify below",Did you own a computer/laptop for online learning during the pandemic?,How did you access your course material during the pandemic?,What online communication services did you use during the pandemic?,Was it easy to adapt to new learning communication services during the online learning?,Was the communication clear and helpful about the pandemic provided by the university?,Did you have a quiet and safe place to study during the pandemic?,What do you think is the best learning process after the pandemic?,How do you describe online learning compared to in-person learning?,Were you motivated during online learning to attend or stay in class?,Where did you spend most of your time studying during the pandemic?,Did you manage your time more effectively and efficiently compared to in-person?,How much effort did you put into online learning compared to in-person during the pandemic?,Did the university provide you with tutoring services during the pandemic?,Did the professors post the recorded lectures during the pandemic?,Was it easy to learn from recorded lectures compare to in-person?,Did the professor provide you with flexible hours to work on your coursework during the pandemic?,Did the professors conduct virtual office hours and were they easy to access during the pandemic?,Was it easy to communicate with your professors during online learning?,Were you comfortable communicating and expressing your opinion with the professors during online learning/office hours?,Did your professor give you enough time to discuss course material during online learning?,Did you have a good relationship with your professor compared to in-person during the online learning environment?,Did the professor use the online technology provided efficiently during the online learning?,Did you change your degree or field of specialization during the pandemic?,Did you lose opportunities in terms of research/internship during the pandemic?,Was it easy to use the services of the academic advising/student services during the pandemic?,"When the university opened back (hybrid learning), were you forced to withdraw from certain courses due to the proof of vaccination directive?",Did you have access to services such as sports centres or extracurriculars during the pandemic?,Were you forced to delay your graduation because of the pandemic?,Did you require extra time for exams/tests/quizzes compared to in-person learning?,Was the grading scale for exams/quizzes/tests fair in online learning compared to in- person?,Did you feel your grade were lower compared to in-person learning?,Did the professor communicate clear exam instructions?,Were you concerned about your personal data during online proctoring?,Do you think you received the same quality of education compared to in-person learning?,Did you feel the course load was heavy during the online learning?,Did you receive feedback on time for your coursework compared to in-person?,How difficult was it to balance school and personal life during the pandemic?,How do you describe your relationship with your peers during online learning?,Was online learning more stressful than in-person learning?,Did you suffer from anxiety or depression during the pandemic?,Did you have access to mental health services from the university during the pandemic?,Were you concerned about your social and emotional health during the pandemic?,Are you concerned with online learning environment having an impact entering the job market?,Did you face financial difficulty during the pandemic?
0,Male,27-30,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Engineering,Ontario Tech University,NIL,Yes,Canvas,Google Meet,Easy,Yes,Yes,NIL,Easy to focus,Yes,Home,Yes,Greater effort than in-person learning,No Answer,Few professors posted recorded lectures,Yes,Yes,Yes,Sometimes,Occassionally,Sometimes,Yes,Professor had some difficulty,No,No,Did not use the services,Yes,No,No,Sometimes,Too strict,Grades were similar to in-person learning,Yes,Moderately concerned,Quality of education was similar to in-person,Yes,Occasionally,Difficult,Fair,Moderately stressful,Sometimes,Yes,Somewhat concerned,NIL,Somtimes
2,Male,27-30,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Engineering,Ontario Tech University,NIL,Yes,Canvas,Google Meet,Easy,Yes,Sometimes,Hybrid,Difficult to focus,Yes,Home,Yes,Greater effort than in-person learning,Yes,Few professors posted recorded lectures,Yes,Yes,Yes,Sometimes,Occassionally,Sometimes,Yes,Professor had some difficulty,No,Opportunities were delayed,Yes,Yes,No,No,Sometimes,Too strict,Yes,Yes,Moderately concerned,Yes,Yes,Occasionally,Difficult,Poor,Extremely stressful,Rarely,Yes,Somewhat concerned,Moderately concerned,Somtimes
3,Male,18-22,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Engineering,Ontario Tech University,NIL,Yes,Canvas,Google Meet,Moderate,Somewhat Clear,Yes,In-person,Difficult to focus,No,Home,No,Greater effort than in-person learning,Had some difficulty accesssing tutoring services,Yes,No,Time spent on coursework was similar to in-person learning,Sometimes had difficulty accessing office hours,Sometimes,Occassionally,Sometimes,No,Professor had some difficulty,Planning on switching,No,No,No,No,Yes,Yes,Too strict,No,Yes,Moderately concerned,No,Yes,Occasionally,Difficult,Poor,Extremely stressful,Sometimes,Sometimes because of limited hours,Somewhat concerned,Extremely concerned,Yes
7,Female,18-22,Undergraduate Degree,International Student,Full time,Year 3,Bachelor of Science,University of Toronto,NIL,Yes,Moodle,Microsoft Team,Easy,Somewhat Clear,Yes,In-person,Difficult to focus,No,Home,Similar to in-person,Less effort than in-person learning,Had some difficulty accesssing tutoring services,Few professors posted recorded lectures,Learning curve was similar to in-person learning,Yes,Yes,Sometimes,Everytime,Sometimes,Yes,Professor had some difficulty,No,Yes,Yes,No,Yes,No,No,Similar to in-person,Grades were similar to in-person learning,Yes,Moderately concerned,No,Course load was comparable to in-person,Occasionally,Easy,Good,Moderately stressful,Rarely,Yes,Somewhat concerned,Not at all concerned,Somtimes
16,Male,18-22,Undergraduate Degree,Domestic,Full time,Year 3,Bachelor of Engineering,Ontario Tech University,NIL,Yes,Canvas,Google Meet,Easy,No,Sometimes,In-person,Difficult to focus,Similar to in-person learning,Home,Similar to in-person,Greater effort than in-person learning,No,Few professors posted recorded lectures,Learning curve was similar to in-person learning,Time spent on coursework was similar to in-person learning,Yes,Easy,NIL,Sometimes,Similar relationship as in-person learning,No,No,No,Did not use the services,No,NIL,No,No,Similar to in-person,No,Instructions were somewhat clear,Moderately concerned,No,Course load was comparable to in-person,Occasionally,Moderate,Poor,Moderately stressful,Often,NIL,Not at all concerned,Extremely concerned,Somtimes
18,Male,18-22,Undergraduate Degree,International Student,Full time,Year 4,Bachelor of Engineering,Ontario Tech University,NIL,Yes,Canvas,Google Meet,Moderate,Somewhat Clear,Yes,Hybrid,Difficult to focus,Similar to in-person learning,Home,Yes,Same effort as in-person learning,Yes,Few professors posted recorded lectures,Yes,Yes,Yes,Easy,Occassionally,Sometimes,Yes,Professor had some difficulty,No,No,Did not use the services,No,No,No,No,Too strict,Yes,Instructions were somewhat clear,Extremelty concerned,Quality of education was similar to in-person,Yes,Occasionally,Moderate,Excellent,Moderately stressful,Sometimes,No,Somewhat concerned,Extremely concerned,Somtimes
20,Transgender,18-22,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Arts,Ontario Tech University,NIL,Yes,Canvas,Other,Easy,Somewhat Clear,Yes,In-person,Difficult to focus,No,Home,No,Less effort than in-person learning,Yes,Few professors posted recorded lectures,No,Yes,Sometimes had difficulty accessing office hours,Sometimes,Everytime,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,No,No,Did not use the services,No,No,No,No,Similar to in-person,Yes,Instructions were somewhat clear,Extremelty concerned,No,Course load was comparable to in-person,Occasionally,Difficult,Poor,Moderately stressful,Often,Sometimes because of limited hours,Extremely concerned,Moderately concerned,No
21,Male,18-22,Undergraduate Degree,Domestic,Full time,Year 2,Bachelor of Engineering,Ontario Tech University,NIL,Yes,Canvas,Google Meet,Moderate,No,Yes,In-person,Difficult to focus,No,Home,Similar to in-person,Less effort than in-person learning,No,Few professors posted recorded lectures,Learning curve was similar to in-person learning,Yes,Yes,Easy,Occassionally,Sometimes,NIL,Professor had some difficulty,Yes,NIL,Yes,No,No,NIL,Sometimes,Similar to in-person,Grades were similar to in-person learning,Instructions were somewhat clear,Extremelty concerned,No,Course load was comparable to in-person,Occasionally,Moderate,Poor,Moderately stressful,Sometimes,No,Somewhat concerned,Moderately concerned,No
22,Male,27-30,Graduate Degree,Domestic,Full time,Year 2,Other,Ontario Tech University,NIL,Yes,Canvas,Google Meet,Difficult,Yes,Yes,In-person,Difficult to focus,No,Campus,No,Less effort than in-person learning,No,Few professors posted recorded lectures,No,No,Sometimes had difficulty accessing office hours,Sometimes,Never,Never,Similar relationship as in-person learning,No,No,No,Did not use the services,No,No,Yes,No,Similar to in-person,No,Yes,Extremelty concerned,No,No,Occasionally,Difficult,Poor,Extremely stressful,Often,Yes,Extremely concerned,Extremely concerned,No
28,Male,18-22,Undergraduate Degree,Domestic,Full time,Year 3,Bachelor of Engineering,Ontario Tech University,NIL,Yes,Canvas,Google Meet,Difficult,No,Yes,In-person,Difficult to focus,No,Home,No,Greater effort than in-person learning,No,Yes,No,No,Sometimes had difficulty accessing office hours,Sometimes,Occassionally,Sometimes,No,Professor had some difficulty,No,No,Did not use the services,No,No,No,Sometimes,Too strict,Yes,Instructions were somewhat clear,Extremelty concerned,No,Yes,Occasionally,Difficult,Fair,Extremely stressful,Often,Sometimes because of limited hours,Somewhat concerned,Extremely concerned,Somtimes
